age,count
18,128
26,101
21,96
23,89
19,59
20,48
22,39
17,30
24,18
25,16
27,14
33,13
29,11
16,9
30,8
41,7
38,7
40,6
34,5
31,4
39,3
32,3
45,3
35,3
36,3
37,3
21.962.426,2
2.181.119,2
1.630.687,2
25.540.865,2
25.930.376,2
25.783.865,2
25.902.283,2
25.653.233,2
55,2
30.242.597,1
25.539.411,1
30.958.051,1
30.304.203,1
3.355.336,1
40.794.057,1
31.194.458,1
25.300.208,1
25.478.662,1
26.774.115,1
30.520.854,1
28.704.462,1
20.027.764,1
24.001.685,1
25.100.513,1
21.963.787,1
38.523.646,1
29.429.687,1
30.610.436,1
31.346.845,1
26.957.645,1
34.576.714,1
31.689.773,1
24.201.622,1
30.577.343,1
22.908.879,1
27.558.801,1
26.490.926,1
29.883.021,1
26.740.655,1
25.486.521,1
25.124.595,1
25.883.749,1
25.509.034,1
28.825.279,1
37.056.193,1
26.680.376,1
22.276.969,1
30.870.724,1
4.050.021,1
2.783.173,1
2.482.929,1
31.457.413,1
30.605.225,1
25.498.751,1
27.991.467,1
28.363.149,1
26.225.442,1
34.139.453,1
26.945.139,1
30.421.596,1
27.562.425,1
32.707.653,1
37.186.795,1
25.314.589,1
30.200.946,1
19.850.524,1
1.888.061,1
24.739.421,1
23.260.061,1
23.432.227,1
22.705.772,1
23.454.558,1
3.062.865,1
31.755.387,1
252.984,1
24.145.295,1
23.963.649,1
21.556.361,1
36.542.885,1
3.186.893,1
29.827.481,1
30.710.511,1
28.712.995,1
25.717.522,1
2.515.462,1
3.002.019,1
20.013.906,1
24.041.043,1
3.871.216,1
29.906.575,1
32.259.623,1
30.493.946,1
40.106.145,1
245.822,1
24.417.552,1
25.058.566,1
25.027.254,1
3.136.347,1
31.194.323,1
30.607.546,1
24.825.398,1
26.607.478,1
25.036.269,1
27.474.245,1
28.493.397,1
27.439.056,1
29.620.095,1
25.846.279,1
26.050.109,1
3.229.016,1
40.174.191,1
27.186.873,1
30.424.369,1
23.141.402,1
30.684.347,1
31.034.092,1
2.793.982,1
28.393.111,1
30.796.262,1
31.743.821,1
25.139.466,1
25.136.116,1
30.003.358,1
28.404.332,1
22.789.402,1
20.101.026,1
26.947.786,1
24.079.971,1
23.083.621,1
22.832.105,1
24.178.638,1
33.174.147,1
26.684.354,1
2.347.007,1
24.244.029,1
2.463.474,1
22.889.099,1
22.658.572,1
3.908.886,1
37.084.742,1
19.045.357,1
29.721.964,1
24.521.879,1
30.188.303,1
30.350.516,1
30.002.029,1
25.447.208,1
20.184.451,1
30.686.701,1
24.007.488,1
22.906.342,1
24.443.011,1
24.408.805,1
24.920.362,1
31.783.845,1
31.627.962,1
22.976.188,1
30.475.248,1
28.992.809,1
29.687.488,1
30.403.205,1
32.867.331,1
33.749.594,1
40.366.238,1
25.314.163,1
25.341.399,1
29.246.269,1
29.509.151,1
240.409,1
24.000.307,1
21.544.554,1
21.721.507,1
40.973.007,1
22.977.357,1
18.945.961,1
3.912.631,1
20.720.639,1
26.032.416,1
33.226.808,1
39.685.846,1
38.748.307,1
32.895.637,1
29.633.715,1
25.920.738,1
26.015.448,1
25.955.361,1
20.580.984,1
23.090.215,1
20.418.832,1
18.063.582,1
18.078.256,1
21.052.016,1
21.077.356,1
18.011.903,1
31.335.093,1
18.107.092,1
26.220.065,1
24.565.628,1
20.338.815,1
2.102.064,1
2.332.471,1
22.735.328,1
22.969.366,1
37.441.044,1
39.129.291,1
22.847.618,1
2.287.795,1
21.001.458,1
22.815.416,1
42.586.285,1
23.096.353,1
22.857.123,1
22.804.818,1
22.676.243,1
22.693.989,1
39.648.946,1
4.337.634,1
43.719.395,1
3.079.626,1
29.622.804,1
38.683.794,1
31.387.982,1
24.317.607,1
23.474.165,1
30.967.417,1
29.389.239,1
40.702.771,1
41.403.862,1
22.480.889,1
22.679.454,1
35.322.112,1
38.547.267,1
23.237.302,1
24.184.891,1
39.656.559,1
36.023.972,1
21.834.894,1
21.872.484,1
31.641.081,1
31.630.054,1
17.052.914,1
1.804.892,1
22.875.223,1
22.884.722,1
17.073.648,1
19.034.033,1
38.098.745,1
39.213.399,1
20.491.475,1
19.524.698,1
22.469.351,1
22.352.025,1
18.166.318,1
19.431.662,1
2.172.738,1
21.016.665,1
21.980.847,1
21.106.056,1
18.603.496,1
21.011.124,1
18.729.566,1
23.668.137,1
21.895.468,1
213.928,1
21.682.636,1
19.515.324,1
20.803.186,1
21.688.557,1
22.200.779,1
22.829.681,1
22.956.845,1
19.275.687,1
19.374.207,1
21.624.552,1
20.924.808,1
20.654.752,1
20.993.067,1
22.088.059,1
22.336.216,1
18.152.876,1
20.206.358,1
18.140.751,1
21.856.301,1
21.962.219,1
20.534.089,1
3.929.266,1
37.872.971,1
21.353.237,1
21.379.676,1
1.810.682,1
18.024.744,1
27.968.765,1
24.481.032,1
23.246.702,1
28.421.533,1
29.409.825,1
43.726.081,1
41.318.302,1
37.063.599,1
31.347.497,1
17.412.629,1
18.611.197,1
37.471.683,1
37.613.378,1
20.975.973,1
2.417.851,1
18.178.076,1
31.783.524,1
22.126.325,1
23.329.344,1
22.927.011,1
3.667.933,1
39.569.004,1
21.746.113,1
21.587.743,1
29.681.308,1
37.974.483,1
23.099.906,1
38.397.463,1
23.479.181,1
24.473.062,1
38.445.148,1
40.466.313,1
25.696.736,1
26.011.928,1
18.907.514,1
21.679.158,1
36.673.882,1
37.936.044,1
22.226.815,1
22.177.099,1
22.719.385,1
21.797.388,1
20.677.105,1
23.652.435,1
23.803.904,1
26.826.961,1
2.595.383,1
38.542.937,1
40.654.155,1
40.789.529,1
38.895.069,1
22.997.168,1
2.289.974,1
22.362.877,1
22.307.413,1
22.538.932,1
30.108.216,1
24.622.054,1
31.761.799,1
25.966.504,1
25.954.995,1
25.909.353,1
2.595.774,1
24.063.874,1
23.712.641,1
20.801.791,1
20.848.608,1
25.950.898,1
25.311.534,1
21.051.982,1
24.291.205,1
19.783.234,1
18.904.037,1
20.074.449,1
19.993.565,1
2.081.158,1
20.601.222,1
2.369.484,1
25.908.829,1
19.297.004,1
18.301.773,1
19.872.667,1
21.291.969,1
20.102.241,1
21.022.206,1
20.388.049,1
21.282.238,1
21.028.989,1
21.760.734,1
21.656.907,1
21.210.732,1
21.289.104,1
20.781.751,1
20.908.785,1
25.524.336,1
25.493.586,1
25.795.187,1
2.542.724,1
1.813.782,1
23.455.303,1
21.391.371,1
30.976.932,1
25.999.185,1
21.840.654,1
20.190.733,1
19.137.495,1
25.498.965,1
25.816.445,1
1.947.219,1
20.327.723,1
25.934.757,1
23.426.036,1
21.413.498,1
22.980.221,1
20.951.084,1
21.030.909,1
25.617.227,1
25.989.938,1
2.596.773,1
25.612.462,1
24.475.242,1
20.871.667,1
21.501.721,1
21.521.294,1
18.314.593,1
21.140.165,1
2.277.789,1
21.412.434,1
25.959.772,1
25.748.627,1
25.982.113,1
25.986.185,1
18.120.739,1
20.089.969,1
21.704.699,1
18.744.914,1
25.565.662,1
25.918.524,1
25.919.571,1
21.238.416,1
21.768.153,1
19.529.746,1
20.530.998,1
18.976.968,1
20.924.956,1
18.423.482,1
18.469.086,1
19.012.872,1
21.131.526,1
19.364.339,1
19.528.936,1
21.330.178,1
20.217.015,1
20.394.082,1
18.862.264,1
2.128.253,1
24.693.108,1
24.284.833,1
24.196.367,1
23.647.935,1
21.568.951,1
2.167.447,1
20.978.166,1
20.952.737,1
21.572.114,1
21.680.123,1
24.469.756,1
2.512.791,1
24.361.936,1
22.524.036,1
21.982.942,1
20.976.842,1
21.285.965,1
21.682.367,1
21.016.849,1
25.765.628,1
25.722.004,1
25.777.565,1
25.974.446,1
25.992.348,1
