Id,Date,WeightKg,WeightPounds,Fat,BMI,IsManualReport,LogId,BMI_describe
1503960366,4/5/2016 11:59:59 PM,53.2999992370605,117.506384062611,22.0,22.9699993133545,True,1459900799000.0,Normal weight
1624580081,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
1644430081,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
1844505072,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
1927972279,4/10/2016 6:33:26 PM,129.600006103516,285.719105247709,Não informado,46.1699981689453,False,1460313206000.0,Obesity
2022484408,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2026352035,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2320127002,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
2347167796,4/3/2016 11:59:59 PM,63.4000015258789,139.773077589277,10.0,24.7700004577637,True,1459727999000.0,Normal weight
2873212765,4/6/2016 11:59:59 PM,56.7000007629395,125.002104340889,Não informado,21.4500007629395,True,1459987199000.0,Normal weight
2873212765,4/7/2016 11:59:59 PM,57.2000007629395,126.104415651814,Não informado,21.6499996185303,True,1460073599000.0,Normal weight
2891001357,4/5/2016 11:59:59 PM,88.4000015258789,194.888643135527,Não informado,25.0300006866455,True,1459900799000.0,Overweight
3372868164,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
3977333714,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
4020332650,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
4057192912,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
4319703577,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
4388161847,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
4445114986,3/30/2016 11:59:59 PM,92.4000015258789,203.707133622927,Não informado,35.0099983215332,True,1459382399000.0,Obesity
4558609924,4/8/2016 11:59:59 PM,69.4000015258789,153.000813320377,Não informado,27.1399993896484,True,1460159999000.0,Overweight
4702921684,4/4/2016 11:59:59 PM,99.6999969482422,219.800868670471,Não informado,26.1100006103516,True,1459814399000.0,Overweight
5553957443,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
5577150313,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
6117666160,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
6290855005,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
6391747486,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
6775888955,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
6962181067,3/30/2016 11:59:59 PM,61.5,135.584291243775,Não informado,24.0300006866455,True,1459382399000.0,Normal weight
6962181067,3/31/2016 11:59:59 PM,61.5,135.584291243775,Não informado,24.0300006866455,True,1459468799000.0,Normal weight
6962181067,4/1/2016 11:59:59 PM,60.9000015258789,134.261521034652,Não informado,23.7800006866455,True,1459555199000.0,Normal weight
6962181067,4/2/2016 11:59:59 PM,61.2000007629395,134.922906139214,Não informado,23.8899993896484,True,1459641599000.0,Normal weight
6962181067,4/3/2016 11:59:59 PM,61.5,135.584291243775,Não informado,24.0300006866455,True,1459727999000.0,Normal weight
6962181067,4/4/2016 11:59:59 PM,62.4000015258789,137.568454967427,Não informado,24.3500003814697,True,1459814399000.0,Normal weight
6962181067,4/5/2016 11:59:59 PM,61.7000007629395,136.025217450139,Não informado,24.1000003814697,True,1459900799000.0,Normal weight
6962181067,4/6/2016 11:59:59 PM,62.2000007629395,137.127528761064,Não informado,24.2800006866455,True,1459987199000.0,Normal weight
6962181067,4/7/2016 11:59:59 PM,62.2000007629395,137.127528761064,Não informado,24.2800006866455,True,1460073599000.0,Normal weight
6962181067,4/8/2016 11:59:59 PM,61.7000007629395,136.025217450139,Não informado,24.1000003814697,True,1460159999000.0,Normal weight
6962181067,4/9/2016 11:59:59 PM,62.0999984741211,136.907061452898,Não informado,24.2399997711182,True,1460246399000.0,Normal weight
6962181067,4/10/2016 11:59:59 PM,62.5,137.788913865625,Não informado,24.3899993896484,True,1460332799000.0,Normal weight
6962181067,4/11/2016 11:59:59 PM,62.2000007629395,137.127528761064,Não informado,24.2800006866455,True,1460419199000.0,Normal weight
6962181067,4/12/2016 11:59:59 PM,62.5,137.788913865625,Não informado,24.3899993896484,True,1460505599000.0,Normal weight
7007744171,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
7086361926,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado,Não informado
